"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0010247",540.09643225565,0.252976282544995,0.194921296904533,1.29783808420326,0.194342979744468,0.493373149247755
"FBgn0086378",679.227248082414,0.161330582986215,0.198647237174328,0.81214612033408,0.41670779169555,0.710884562996889
"FBgn0263977",1194.58622724334,0.225998819098345,0.135844595597916,1.66365704946611,0.0961809841076433,0.323200670901017
"FBgn0069923",20.4813665705792,0.842409195466273,0.491678547026476,1.71333323481553,0.0866512514666267,0.302137801537962
"FBgn0039955",743.580753824499,-0.149272907667176,0.147678009194703,-1.01079983730259,0.312112241016848,0.620753254473347
"FBgn0259821",257.131844810788,1.08870706455055,0.161214198221624,6.75317110130637,1.44648185591244e-11,6.97070475881044e-10
"FBgn0027341",17.2329473453985,0.507776709705542,0.52457347516003,0.967980147205567,0.333054284722836,0.643344201050575
"FBgn0058198",50.4340763202626,-0.381051832129241,0.310044349877712,-1.22902362929541,0.219062946779999,0.522587235218753
"FBgn0037213",778.776241522756,0.469528864883275,0.134387657198375,3.49383920124587,0.000476127702334547,0.00567879349694295
"FBgn0053294",86.8705945727089,-0.0240805504559219,0.296162865242576,-0.0813084734178215,0.935196635491318,0.975567361122512
"FBgn0037215",7201.46500976993,-0.214581516510705,0.0903902526072588,-2.37394531292053,0.0175991568701406,0.100289932212141
"FBgn0037217",75.367153228568,-0.236298893908181,0.255539343389809,-0.924706508100093,0.355118593200901,0.663175578788294
"FBgn0037218",3164.96239388017,-0.0336719704309496,0.0928381466112193,-0.362695418424913,0.71683242258032,0.88868238209644
"FBgn0051516",23.8446517771058,-0.151787722523898,0.42955030612387,-0.353364251776665,0.723815382280954,0.892570996932642
"FBgn0261436",1092.99653646066,-0.0946851676516929,0.108108938160856,-0.875831076157736,0.381121873288592,0.688061845835779
"FBgn0037220",2219.29076565865,-0.0900889492488273,0.0959118926985491,-0.939288619107713,0.347582580233345,0.657096592155419
"FBgn0015331",1246.33248024287,-0.0142935960052982,0.103463327412583,-0.138151327264968,0.890120821354301,0.956893475570582
"FBgn0010225",19222.0324951381,-0.507464203543298,0.0894484609754859,-5.673258075199,1.40106912891435e-08,4.58067189323881e-07
"FBgn0037222",461.115767063444,-0.6584240291932,0.156545696156063,-4.20595420609203,2.59982877194216e-05,0.000451557759826703
"FBgn0085334",75.17372070507,-1.22902434962658,0.365938757211406,-3.3585520128893,0.000783519745050475,0.00849441367293343
"FBgn0037223",37.0249866260786,-2.083380474259,0.396566076263362,-5.25355192730962,1.49193586378943e-07,4.27431934584621e-06
"FBgn0037225",113.417467657331,0.203561636164146,0.225168576343099,0.904041049910844,0.365973634918314,0.672349535988097
"FBgn0250821",76.6384487912682,0.0992773350723372,0.272098520814544,0.364858047648125,0.715217371738863,0.88810950673025
"FBgn0041621",13.0636891650168,-0.362318297651437,0.630338659423203,-0.574799422873697,0.565426957115713,0.808901528080034
"FBgn0037228",18014.4476649023,0.232321680327501,0.0927320008485237,2.50530214167377,0.0122346829435324,0.0770702061720878
"FBgn0037229",55.5343935431381,0.0157943226774749,0.304480678956888,0.0518729882355237,0.958629897555207,0.984976270140222
