"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0259821",257.131844810788,1.08870706455055,0.161214198221624,6.75317110130637,1.44648185591244e-11,6.97070475881044e-10
"FBgn0085334",75.17372070507,-1.22902434962658,0.365938757211406,-3.3585520128893,0.000783519745050475,0.00849441367293343
"FBgn0037223",37.0249866260786,-2.083380474259,0.396566076263362,-5.25355192730962,1.49193586378943e-07,4.27431934584621e-06
"FBgn0027570",39.4601557688146,-1.00187264492416,0.357126035166155,-2.80537554328134,0.00502579859981409,0.039264629181506
"FBgn0037290",102.193870867952,3.082917085407,0.266719874631777,11.5586327777904,6.67632928962729e-31,1.68668355417039e-28
"FBgn0000071",468.542035717475,2.59606292985099,0.148519920397055,17.4795604718252,2.05073653166864e-68,1.70969904645214e-65
"FBgn0015568",306.453441402898,1.03756492159337,0.163589051128664,6.34250834291662,2.26053963802337e-10,9.14860143796158e-09
"FBgn0042102",15.7023266529421,1.52065325237202,0.548572520462852,2.77201864046888,0.00557098462693134,0.0424157980225813
"FBgn0266801",315.18196472067,1.15781336411899,0.208882967796509,5.54288066821662,2.97535641374279e-08,9.36058355523534e-07
"FBgn0051460",22.4455013547732,1.47844503951224,0.529150138532897,2.79399915421231,0.00520606148337505,0.0404124158164784
"FBgn0037635",282.01438536481,-1.02262922960441,0.149003567781604,-6.86311908385502,6.73730166769393e-12,3.44594380389965e-10
"FBgn0037646",60.0438566188139,-2.70347756840007,0.349439687847055,-7.73660709536618,1.02104978678264e-14,8.18508853116047e-13
"FBgn0037678",50.883859446659,1.76834967452892,0.358740769981943,4.92932452204394,8.25144118973962e-07,2.03461217631059e-05
"FBgn0261552",8915.94943566539,-1.78094706090761,0.151096912049824,-11.7867866175872,4.56633222803386e-32,1.31274178569373e-29
"FBgn0002868",158.318973829859,-2.04633888504741,0.208769591612608,-9.80190107783794,1.10486322643281e-22,1.56122791843565e-20
"FBgn0037754",394.55985906919,-2.31460471561245,0.160067681540341,-14.4601626845523,2.16286019293072e-47,1.38705887911257e-44
"FBgn0051477",62.5056551830919,1.05032878210183,0.289664507435225,3.62601822156863,0.000287825053502146,0.00372608302957669
"FBgn0265276",225.233338472011,1.85874413243172,0.18884512484562,9.84269058547968,7.37126415103037e-23,1.05955567633e-20
"FBgn0038143",43.9232321050259,1.09433286236596,0.329741696881979,3.31875790266721,0.000904187836414726,0.00951794695983531
"FBgn0038149",1501.65007907418,1.06692603599328,0.106015140800368,10.063902457125,7.97721009222058e-24,1.25483019884609e-21
"FBgn0051337",1399.88508514791,-1.02185821065975,0.12873083203652,-7.93794458168231,2.05559138896225e-15,1.80394372734509e-13
"FBgn0038198",92.5003926475262,2.34037308722621,0.297617837226746,7.86368555404543,3.72993158510403e-15,3.141054507577e-13
"FBgn0038237",43.5064540044303,-2.20608921974002,0.453884211554583,-4.86046697280794,1.17109181061856e-06,2.76965767555583e-05
"FBgn0038261",44.2983446980558,1.54761336952346,0.34189254488044,4.52660753414399,5.99381058569397e-06,0.000125870022299573
"FBgn0263041",161.670666907361,-1.64198495730977,0.253477976616987,-6.47782098951682,9.30566595891288e-11,3.89855965323903e-09
"FBgn0038381",211.685059721421,-1.09074179606364,0.181972325613625,-5.99399822135354,2.04743612265706e-09,7.26360636365614e-08
"FBgn0063649",840.465771765621,-1.22157046520618,0.121370264961795,-10.0648249024644,7.90278306552198e-24,1.25483019884609e-21
"FBgn0024491",1269.22822272066,1.03751587179905,0.125939396849183,8.2382153460804,1.74798359136653e-16,1.63740889901379e-14
"FBgn0038484",39.56735583593,-1.30609075487256,0.385505067159841,-3.38799892954718,0.000704045390995401,0.00782616856630487
"FBgn0038528",231.343541930742,1.39143502667079,0.178556256910773,7.79269822712576,6.55931504806487e-15,5.3612754466389e-13
"FBgn0038545",122.825266709861,1.08409375267369,0.210673108191906,5.14585730460753,2.66301799759879e-07,7.16180033741326e-06
"FBgn0038832",429.804140495779,-2.68439468466371,0.175845926961755,-15.2656062670564,1.29617516603358e-52,9.00517696601832e-50
"FBgn0038865",405.931986917845,-1.02022487488546,0.14644504454623,-6.96660565092318,3.24679094836111e-12,1.72152161078096e-10
"FBgn0051163",20.5867158337565,1.52959767270015,0.474794017799738,3.22160266422167,0.00127475783075812,0.0128044048614824
"FBgn0039069",48.9212828355731,-1.04781779090958,0.333655218076454,-3.14042081208958,0.001687053097415,0.0161771101118951
"FBgn0039094",23.0410609416662,-1.72321170466826,0.468868338039499,-3.67525713481444,0.000237609980251341,0.00315438599578891
"FBgn0039098",460.900412915089,-1.00111405968991,0.154255094553302,-6.48999025016955,8.58419292145484e-11,3.63281301452634e-09
"FBgn0042106",42.782569972626,-1.21653511249949,0.393813551342013,-3.0891144003396,0.00200754119603868,0.0188478276479442
"FBgn0039109",664.00523300153,-1.32750429598218,0.124504619693081,-10.662289473713,1.52789158736241e-26,2.89500730996374e-24
