195484
0	587	0
664	1955	588
0	133	0
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
7214	7373	4778
8187	8329	4938
8422	8731	5081
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
7214	7373	4778
8422	8731	4938
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
10041	10176	4778
11227	11537	4914
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
7214	7373	4778
10041	10181	4938
11227	11537	5079
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
7214	7373	4778
10041	10176	4938
10992	11134	5074
11227	11537	5217
0	1505	0
1940	2382	1506
2447	3089	1949
3681	3786	2592
3844	5035	2698
5094	5872	3890
7214	7373	4669
10041	10181	4829
11227	11537	4970
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
10041	10181	4778
11227	11537	4919
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
10041	10181	4778
11227	11361	4919
11510	11537	5054
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
7214	7373	4778
10041	10176	4938
11297	11537	5074
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
10046	10181	4778
11297	11537	4914
0	1505	0
1571	1679	1506
1940	2382	1615
2447	3089	2058
3681	3786	2701
3844	5035	2807
5094	5872	3999
7214	7373	4778
11297	11537	4938
0	61	0
0	864	0
920	1112	865
1171	2050	1058
2106	2387	1938
2924	3332	2220
0	989	0
1046	2285	990
0	226	0
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
4992	7868	2431
8443	8886	5308
9156	9202	5752
9318	9810	5799
13133	13329	6292
13899	14455	6489
32679	32780	7046
33788	33866	7148
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
4992	7868	2431
9156	9202	5308
9318	9810	5355
13133	13329	5848
13899	14455	6045
32679	32780	6602
32847	33329	6704
33788	33866	7187
0	1286	0
1364	1562	1287
1651	2088	1486
3009	3237	1924
3331	3524	2153
3580	3666	2347
8443	8886	2434
9156	9202	2878
9318	9810	2925
13133	13329	3418
13899	14455	3615
32679	32774	4172
33788	33866	4268
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
10344	12896	2431
13133	13329	4984
13899	14455	5181
32679	32780	5738
33557	33866	5840
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
8443	8886	2431
9156	9202	2875
9318	9810	2922
13133	13329	3415
13899	14455	3612
32679	32780	4169
33788	33866	4271
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
8443	8886	2431
9156	9202	2875
9318	9810	2922
10344	12896	3415
13133	13329	5968
13899	14455	6165
32679	32780	6722
32847	32948	6824
33788	33866	6926
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
9156	9202	2431
9318	9810	2478
13133	13329	2971
13899	14455	3168
32679	32791	3725
33788	33866	3838
0	1286	0
1364	1562	1287
1651	2088	1486
2613	2838	1924
3331	3524	2150
3580	3666	2344
8443	8886	2431
9156	9202	2875
9318	9510	2922
10344	12896	3115
13133	13329	5668
13899	14455	5865
32679	32780	6422
39944	40002	6524
0	258	0
0	5005	0
0	950	0
0	340	0
0	110	0
0	620	0
0	34	0
0	243	0
0	206	0
0	130	0
194	521	131
907	1025	459
1087	1280	578
1410	1541	772
1603	4067	904
4125	4908	3369
0	464	0
526	719	465
849	980	659
1042	3506	791
3564	4038	3256
0	68	0
346	464	69
526	719	188
849	980	382
1042	3506	514
3564	4038	2979
0	94	0
346	464	95
526	719	214
849	980	408
1042	3506	540
3564	4347	3005
0	464	0
526	719	465
849	980	659
1042	3506	791
3564	4347	3256
0	2603	0
2716	2797	2604
0	2797	0
0	47	0
193	324	48
3146	3261	180
3321	4454	296
0	590	0
2516	2631	591
2691	3824	707
0	207	0
335	412	208
1418	1533	286
1593	2726	402
0	207	0
1418	1533	208
1593	2726	324
0	443	0
774	889	444
949	2082	560
0	1235	0
1294	1435	1236
0	1856	0
4599	4966	1857
0	1293	0
4036	4403	1294
0	153	0
250	331	154
393	562	236
615	3094	406
3145	3731	2886
3788	4984	3473
5046	5777	4670
5833	5964	5402
6023	6203	5534
6277	6455	5715
6510	6880	5894
7137	7347	6265
0	526	0
626	1054	527
1136	1762	956
0	526	0
626	1054	527
1498	1762	956
0	985	0
1043	1374	986
1429	1493	1318
1550	1953	1383
2007	2770	1787
0	97	0
862	935	98
1685	1906	172
3503	3580	394
3852	3974	472
5004	5116	595
5787	6466	708
6531	7529	1388
0	77	0
827	1048	78
2645	2722	300
2994	3576	378
