Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
GSM461177_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.006864715278369406)	(14, 0.019468937683419566)	(15, 0.014136018376256556)	(16, 0.017653475791619393)	(17, 0.06030737471823701)	(18, 0.10831310401339055)	(19, 0.12433077299625248)	(20, 0.1417667715820833)	(21, 0.16530158746068035)	(22, 0.19218366120228397)	(23, 0.220701541752645)	(24, 0.2433191711546555)	(25, 0.24886011213692064)	(26, 0.26599353374078477)	(27, 0.28498969488988135)	(28, 0.2852828163411616)	(29, 0.31728033218413965)	(30, 0.35445947884329737)	(31, 0.3800839670036019)	(32, 0.38904781009436523)	(33, 0.41827485544621074)	(34, 0.4145777429478052)	(35, 0.37041095911135413)	(36, 0.3582322355871946)	(37, 0.38649481680902126)
GSM461177_2	(1, 0.5485815238363054)	(2, 0.3767650757326547)	(3, 0.3681416317466039)	(4, 0.3754885790899827)	(5, 0.3828922596174803)	(6, 0.37729458545109645)	(7, 0.35774054799149874)	(8, 0.38517104251291695)	(9, 0.37572496735714417)	(10, 0.8429038275137222)	(11, 0.3416756013552045)	(12, 0.3452592474853725)	(13, 0.340739503817245)	(14, 0.3312839731307858)	(15, 0.3481242732833697)	(16, 0.3586766455294582)	(17, 0.3687373301798508)	(18, 0.8531063451244116)	(19, 0.34933458121123645)	(20, 0.3510365767347991)	(21, 0.36240212461992316)	(22, 0.3669029572266777)	(23, 0.3557832531394016)	(24, 0.357211038273057)	(25, 0.7818494658712548)	(26, 0.7865299535610523)	(27, 0.3725668201078668)	(28, 0.3698719938622259)	(29, 0.3739851497108357)	(30, 0.38236274989903857)	(31, 0.3795733683465331)	(32, 0.3532491709154306)	(33, 0.3728221194364012)	(34, 0.3625061354574742)	(35, 0.3613525607137261)	(36, 0.3752143687000754)	(37, 0.36872787464916434)
GSM461178_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.009959033865784603)	(14, 0.010882983641510104)	(15, 0.0010302448826673728)	(16, 0.0018397230047631653)	(17, 0.010024446239287292)	(18, 0.040735555598800405)	(19, 0.03425973062203406)	(20, 0.03436602572897593)	(21, 0.04211739198904473)	(22, 0.052477076642533316)	(23, 0.07042459662233398)	(24, 0.06112786303826411)	(25, 0.034137082421716515)	(26, 0.04421876448781866)	(27, 0.05644270178613392)	(28, 0.06959058886017468)	(29, 0.12180601600869723)	(30, 0.16949981283884633)	(31, 0.18192816380435747)	(32, 0.17656434917713687)	(33, 0.19681765532290735)	(34, 0.21209144453578554)	(35, 0.18838763568774813)	(36, 0.17217354360576878)	(37, 0.16740661688676023)
GSM461178_2	(1, 0.7582029978163715)	(2, 0.19706295172354243)	(3, 0.33238479940723303)	(4, 0.7029786014867251)	(5, 0.21871444735293297)	(6, 1.1731463891306875)	(7, 0.19629435633488584)	(8, 0.7183832154466087)	(9, 0.19025188833257484)	(10, 0.1458368867242481)	(11, 0.1360168541521567)	(12, 0.13744774982252805)	(13, 0.6737229174376469)	(14, 0.14370280803872282)	(15, 0.1723861338196525)	(16, 0.17984314439895924)	(17, 0.7120382152168477)	(18, 1.2221320803375149)	(19, 0.167717325660898)	(20, 0.1566953407256947)	(21, 0.6814824602444035)	(22, 0.17810971650113794)	(23, 0.15386625557170333)	(24, 0.14846973475773137)	(25, 0.6304526323656172)	(26, 0.6364951003679282)	(27, 0.3130063837570611)	(28, 0.6560206938584813)	(29, 0.2791800101094823)	(30, 0.6886124089561968)	(31, 0.16432405878544593)	(32, 0.14725142930124377)	(33, 0.15739852374084862)	(34, 0.1552153857751963)	(35, 0.16504359489397552)	(36, 0.6907710172817856)	(37, 0.1705300577215137)
GSM461180_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.016520609582768988)	(14, 0.015354544839266536)	(15, 0.0018184086559513743)	(16, 0.007730275362519743)	(17, 0.018869047667585112)	(18, 0.05815645979482153)	(19, 0.06864288818743797)	(20, 0.0653403971306653)	(21, 0.0742448915355931)	(22, 0.09180925137828037)	(23, 0.10816677498293713)	(24, 0.09015392870044124)	(25, 0.0678111496990656)	(26, 0.5993165066657317)	(27, 0.10500290700755986)	(28, 0.12267327273602006)	(29, 0.17463246536257682)	(30, 0.22059824829350907)	(31, 0.6782338114742402)	(32, 0.2167820364056829)	(33, 0.24237838067039755)	(34, 0.6781685770829953)	(35, 0.21549365717859628)	(36, 0.2097285678523289)	(37, 0.2167738821067773)
GSM461180_2	(1, 0.23536568361157162)	(2, 0.744528261576862)	(3, 0.2639709641724569)	(4, 1.292407450745996)	(5, 0.2537128561491976)	(6, 0.22727661909720498)	(7, 0.22874439290021506)	(8, 0.2575698395315519)	(9, 1.2757074465873037)	(10, 1.1767142578731795)	(11, 0.185502145803757)	(12, 0.18951406086531788)	(13, 0.1936156732148405)	(14, 0.2012480969904929)	(15, 0.21665972192209873)	(16, 0.2216664614501442)	(17, 0.22889117028051603)	(18, 0.7520954509612696)	(19, 0.21377310010951223)	(20, 0.20695610622442098)	(21, 0.2212587465048636)	(22, 0.22801050599871)	(23, 0.2006772960671001)	(24, 0.19951938562250324)	(25, 0.18788320108419557)	(26, 0.20254463051648514)	(27, 0.18453178423398925)	(28, 0.23222627853291114)	(29, 0.23026109249665877)	(30, 0.2362789650890001)	(31, 0.22222910807463142)	(32, 0.20645869399117867)	(33, 0.2251891185773684)	(34, 0.21626016127572373)	(35, 0.23433008765055893)	(36, 0.23800767645698975)	(37, 0.24742589169297105)
GSM461181_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.02262745045823595)	(14, 0.04371485466054092)	(15, 0.0013234772511906882)	(16, 0.006224353617721056)	(17, 0.02711123096378501)	(18, 0.06715243361799056)	(19, 0.08739762502408328)	(20, 0.09102315058492079)	(21, 0.08406085813623282)	(22, 0.11507835225959277)	(23, 0.12004339722012025)	(24, 0.09849879178558578)	(25, 0.07967333052167944)	(26, 0.09794533766236058)	(27, 0.12111020009532245)	(28, 0.1404730733339547)	(29, 0.23796120976408577)	(30, 0.24288614935336506)	(31, 0.26428637545140604)	(32, 0.23018878881618407)	(33, 0.25197402647820777)	(34, 0.2587999606646519)	(35, 0.223763908342222)	(36, 0.21709839564077074)	(37, 0.23595594120167565)
GSM461181_2	(1, 0.2224725153880299)	(2, 0.2419476836661571)	(3, 0.2777938644878007)	(4, 0.29629046170747175)	(5, 0.2722352600327998)	(6, 0.24124985020643838)	(7, 0.24968802031706022)	(8, 0.260091353618844)	(9, 0.2350014333659684)	(10, 0.2005669616122616)	(11, 0.1970457100166694)	(12, 0.2089570052773856)	(13, 0.20528335327105024)	(14, 0.2114515593690238)	(15, 0.21525354856335338)	(16, 0.21845395718896)	(17, 0.23117538094888987)	(18, 0.22959522932171067)	(19, 0.21378569197566918)	(20, 0.2065506830024934)	(21, 0.2198095187371492)	(22, 0.23000430410844236)	(23, 0.20789020240218342)	(24, 0.18984278534049218)	(25, 0.1964361083736967)	(26, 0.20163376448746376)	(27, 0.1851745201272014)	(28, 0.2309668330183992)	(29, 0.2352982131132051)	(30, 0.24015096303423764)	(31, 0.7290514806983276)	(32, 0.21506906385561167)	(33, 0.2250873855934127)	(34, 0.2309026644244021)	(35, 0.24812391083838034)	(36, 0.26563391592534563)	(37, 0.2857507701434441)
