Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GSM461177_1	(1.0, 44.14977336750333)	(2.0, 10.824089506307155)	(3.0, 5.8371655986119855)	(4.0, 3.7905402160941835)	(5.0, 2.588470105622788)	(6.0, 2.0250124035022172)	(7.0, 1.6277952543899088)	(8.0, 1.3690237154045932)	(9.0, 1.145759109894793)	('>10', 13.61372973715753)	('>50', 4.918217925853997)	('>100', 6.627844916198559)	('>500', 1.0098628520205872)	('>1k', 0.4727152914384155)	('>5k', 0.0)	('>10k+', 0.0)
GSM461177_2	(1.0, 60.29223834049028)	(2.0, 7.705211013380403)	(3.0, 3.9228888136311437)	(4.0, 2.317188015144943)	(5.0, 1.696441071565813)	(6.0, 1.3361900141927774)	(7.0, 1.01438818588584)	(8.0, 0.8317756901438772)	(9.0, 0.6511604999337091)	('>10', 9.217291684421037)	('>50', 3.620346707458219)	('>100', 5.548679582378784)	('>500', 0.9497174211113253)	('>1k', 0.5386320412903253)	('>5k', 0.04742772774468867)	('>10k+', 0.3104231912266564)
GSM461178_1	(1.0, 42.32178743275286)	(2.0, 10.346725020618806)	(3.0, 5.684713416817115)	(4.0, 3.6701480185642494)	(5.0, 2.6712615143108103)	(6.0, 2.0315670637839265)	(7.0, 1.632362742803635)	(8.0, 1.3508779676713656)	(9.0, 1.150928640103125)	('>10', 13.85962377532522)	('>50', 5.302778768666924)	('>100', 8.462081699631147)	('>500', 1.0347526314299165)	('>1k', 0.43354268676001495)	('>5k', 0.046848620760787926)	('>10k+', 0.0)
GSM461178_2	(1.0, 53.35942964367053)	(2.0, 10.025744648515774)	(3.0, 5.050865357499685)	(4.0, 3.211213814223255)	(5.0, 2.2415787461805117)	(6.0, 1.6362874363370565)	(7.0, 1.3214140927507965)	(8.0, 1.0750736458042083)	(9.0, 0.9394225551758393)	('>10', 11.902885791017814)	('>50', 4.118806176334396)	('>100', 4.522950372534114)	('>500', 0.4065548515490053)	('>1k', 0.1877728684069485)	('>5k', 0.0)	('>10k+', 0.0)
GSM461180_1	(1.0, 42.81794689690862)	(2.0, 11.368235746628837)	(3.0, 6.092427769897895)	(4.0, 3.908554356753477)	(5.0, 2.730024868284609)	(6.0, 1.9944663961026516)	(7.0, 1.7517086665391968)	(8.0, 1.3775159427761614)	(9.0, 1.1547698184337551)	('>10', 14.490758630742285)	('>50', 4.898080548141484)	('>100', 6.2570577681040325)	('>500', 0.7908350054089022)	('>1k', 0.32497814078346776)	('>5k', 0.0426394444946644)	('>10k+', 0.0)
GSM461180_2	(1.0, 99.84244283677172)	(2.0, 0.002005145342553205)	(3.0, 0.0010066721194888024)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0010315021791794485)	('>10', 0.0)	('>50', 0.0012728817073620836)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.15224096187968253)
GSM461181_1	(1.0, 38.107001145987056)	(2.0, 11.06686820028127)	(3.0, 6.305378543152121)	(4.0, 4.179129338864925)	(5.0, 2.8936359817825927)	(6.0, 2.198449445958276)	(7.0, 1.7927193335899583)	(8.0, 1.5365404950532047)	(9.0, 1.2676777311145104)	('>10', 15.435826834488337)	('>50', 5.513313757608699)	('>100', 8.069154031870244)	('>500', 1.076105395774396)	('>1k', 0.5149634821394246)	('>5k', 0.043236282335014344)	('>10k+', 0.0)
GSM461181_2	(1.0, 41.212740151089484)	(2.0, 10.84374688895836)	(3.0, 6.093794252449405)	(4.0, 4.0540557622820685)	(5.0, 2.844803167712374)	(6.0, 2.1401539497956823)	(7.0, 1.732827952018073)	(8.0, 1.3947925893240372)	(9.0, 1.1621768327871833)	('>10', 14.51499401940905)	('>50', 5.27734864182093)	('>100', 7.102907277125245)	('>500', 0.9443386406934515)	('>1k', 0.4562590855603103)	('>5k', 0.04732341395064283)	('>10k+', 0.17773737502383924)
