Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
GSM461177_1	(1, 39.19399893398347)	(2, 39.80683967703311)	(3, 39.80070209206453)	(4, 39.47863763957427)	(5, 39.62393983408002)	(6, 39.720111847581386)	(7, 39.74473915547549)	(8, 39.7269248411069)	(9, 39.731838974959956)	(10, 39.71045141554495)	(11, 39.69645477169101)	(12, 39.774382906064695)	(13, 39.27034345607778)	(14, 39.27153069251077)	(15, 39.238778341653095)	(16, 39.08151196961446)	(17, 39.029438471018)	(18, 38.910577817079165)	(19, 38.79280398183744)	(20, 38.70218170296188)	(21, 38.62460711088056)	(22, 38.44412533078992)	(23, 38.077225304777755)	(24, 38.0102757034182)	(25, 37.74338483981527)	(26, 37.53605341845328)	(27, 37.206598806844404)	(28, 37.10221277383572)	(29, 36.702615049933236)	(30, 36.409523099908746)	(31, 35.989245279397224)	(32, 35.105053309809236)	(33, 34.330324709542644)	(34, 33.961289435590864)	(35, 33.42336202551083)	(36, 32.95304544205126)	(37, 32.06523597553325)
GSM461177_2	(1, 38.865813632813946)	(2, 39.294708089329426)	(3, 39.397717302514856)	(4, 39.16036249100661)	(5, 39.18509447162542)	(6, 39.203090994070344)	(7, 39.323500463935616)	(8, 39.28155639169763)	(9, 39.28237524065508)	(10, 38.99138024367092)	(11, 39.049810222771356)	(12, 39.01755939326129)	(13, 39.02251862999572)	(14, 38.87049960471154)	(15, 38.76919720937032)	(16, 38.63976328646258)	(17, 38.542485921423975)	(18, 38.39546234755675)	(19, 38.235539444171756)	(20, 38.06461181595263)	(21, 37.91974136097803)	(22, 37.78521393280011)	(23, 37.52195909896735)	(24, 37.1431086059418)	(25, 36.749565163782556)	(26, 36.50569095297661)	(27, 36.349534943906484)	(28, 36.06296343328806)	(29, 35.50253365672509)	(30, 35.41847124681857)	(31, 34.70773956934407)	(32, 34.35319707094135)	(33, 33.82102628249854)	(34, 33.491851176376755)	(35, 32.622045134841066)	(36, 31.94298532473271)	(37, 31.249812945964194)
GSM461178_1	(1, 39.17294377430376)	(2, 39.67626508756836)	(3, 39.74436084016307)	(4, 39.382047672210746)	(5, 39.43437470922156)	(6, 39.58071739712392)	(7, 39.718891469588726)	(8, 39.69218564162425)	(9, 39.665814479715706)	(10, 39.53248550175624)	(11, 39.59833932701461)	(12, 39.72127386999716)	(13, 39.16498660436356)	(14, 39.05541785342428)	(15, 38.9071879367809)	(16, 38.6867466027675)	(17, 38.55740410014569)	(18, 38.505824399502146)	(19, 38.27551127537612)	(20, 37.993815096554385)	(21, 37.730739612801266)	(22, 37.574672803219464)	(23, 37.067801069852074)	(24, 36.551365720416726)	(25, 36.00813942516587)	(26, 35.784109077749314)	(27, 35.183149331052185)	(28, 34.97026721445169)	(29, 34.187190016894384)	(30, 33.62319153184495)	(31, 33.1388408698472)	(32, 32.18840856764727)	(33, 31.31905572005859)	(34, 30.540676193869846)	(35, 29.477493482883464)	(36, 29.01777385012815)	(37, 28.211711643942134)
GSM461178_2	(1, 37.160099237111844)	(2, 37.85522819024731)	(3, 37.825876513540116)	(4, 37.04752364289357)	(5, 37.09406560959181)	(6, 36.454414198671444)	(7, 37.18584922676851)	(8, 36.78639107016442)	(9, 36.73145931244073)	(10, 35.89182003551565)	(11, 35.79960297959902)	(12, 35.79040910697229)	(13, 35.47823174328391)	(14, 35.0031391398044)	(15, 34.55315057879321)	(16, 33.71038867868804)	(17, 33.219321555944504)	(18, 32.42690477969848)	(19, 32.05052893262869)	(20, 31.302658882158138)	(21, 30.952990743658557)	(22, 30.590049208093276)	(23, 30.21612657032623)	(24, 28.940173107305238)	(25, 28.224553973466453)	(26, 27.63645266409062)	(27, 27.158216832533366)	(28, 26.157845944375605)	(29, 25.740699382556254)	(30, 25.274328701428654)	(31, 24.43460904904963)	(32, 23.684634191930698)	(33, 22.778441831474506)	(34, 22.11371491423375)	(35, 21.166128540873984)	(36, 20.849092019019956)	(37, 20.393936452860327)
GSM461180_1	(1, 39.536804917368414)	(2, 39.84594768038736)	(3, 39.85584243285139)	(4, 39.702746938672334)	(5, 39.71857125267155)	(6, 39.79063462462093)	(7, 39.812479502131126)	(8, 39.774205506271876)	(9, 39.809318732789336)	(10, 39.78593856388119)	(11, 39.831651318917075)	(12, 39.853549036284186)	(13, 39.52107975964388)	(14, 39.43791781608305)	(15, 39.366086352394554)	(16, 39.29511769507325)	(17, 39.191328800086765)	(18, 39.06921711391637)	(19, 38.815263705949455)	(20, 38.64821302616633)	(21, 38.51659383518694)	(22, 38.338745232793)	(23, 37.81640392156543)	(24, 37.38079988779685)	(25, 36.71416572960182)	(26, 36.04418635182375)	(27, 35.81079637329402)	(28, 34.81988034381786)	(29, 34.809564911073295)	(30, 34.13746729106852)	(31, 33.53007688688438)	(32, 32.84010096652905)	(33, 32.22931690622638)	(34, 31.845586608031823)	(35, 30.911063100411223)	(36, 30.177189816585354)	(37, 29.285224165754066)
GSM461180_2	(1, 37.25068043547218)	(2, 37.33127524265155)	(3, 36.79795253708779)	(4, 36.45298435108497)	(5, 36.24241955987987)	(6, 35.871819476869106)	(7, 36.68664978183173)	(8, 35.519394429146075)	(9, 35.13488139979957)	(10, 34.572359454542635)	(11, 34.98105528043857)	(12, 35.07957119803775)	(13, 34.42458023707809)	(14, 34.18408272699326)	(15, 33.54660932020057)	(16, 33.3065561378631)	(17, 33.21534989688889)	(18, 32.21083013209149)	(19, 32.28594696280906)	(20, 31.017364253347544)	(21, 31.477239068550745)	(22, 31.29581619231751)	(23, 30.51575410548564)	(24, 29.643182312999503)	(25, 29.24080215469194)	(26, 28.43259534210138)	(27, 27.95111587503374)	(28, 27.307255695166212)	(29, 26.682723323822703)	(30, 26.44313412109297)	(31, 25.530490717553842)	(32, 25.003462967659235)	(33, 24.251527340956514)	(34, 23.47493955625936)	(35, 23.159545870785347)	(36, 22.17624946283556)	(37, 21.87096930966521)
GSM461181_1	(1, 39.67537292781562)	(2, 39.88180529997294)	(3, 39.86042047433745)	(4, 39.724357548047436)	(5, 39.657107177112856)	(6, 39.784350290579454)	(7, 39.849183510788905)	(8, 39.79080821787933)	(9, 39.84213667621763)	(10, 39.7159857924316)	(11, 39.85575654050426)	(12, 39.889261690595404)	(13, 39.57281266508373)	(14, 39.395380486876)	(15, 39.42672708567582)	(16, 39.43707467251157)	(17, 39.285113896848024)	(18, 39.109070407225126)	(19, 39.00036086813049)	(20, 38.699142338614784)	(21, 38.619405240552815)	(22, 38.403948437967976)	(23, 38.08962194912425)	(24, 37.85893144211375)	(25, 37.58149002362848)	(26, 37.331325631711735)	(27, 36.894412664057036)	(28, 36.79312326032926)	(29, 36.31308314212429)	(30, 35.8132904066829)	(31, 35.38402449058559)	(32, 34.88873855613284)	(33, 34.41506203739457)	(34, 34.29463058060225)	(35, 33.57883167920066)	(36, 33.04149887247759)	(37, 32.20883733084958)
GSM461181_2	(1, 39.03497741826966)	(2, 39.34964303813267)	(3, 39.42085782501513)	(4, 39.066717611182916)	(5, 39.1775742314327)	(6, 39.25520772256195)	(7, 39.37691525205664)	(8, 39.370658894352665)	(9, 39.35633213279241)	(10, 39.243036223652574)	(11, 39.339771100999926)	(12, 39.2485197508526)	(13, 39.218450508127034)	(14, 39.08180717690431)	(15, 38.92006261571402)	(16, 38.72772511586041)	(17, 38.59954562218591)	(18, 38.384364423712285)	(19, 38.1885770598239)	(20, 37.96000451746902)	(21, 37.78087668416491)	(22, 37.59292590981842)	(23, 37.165797369376406)	(24, 36.68152926272371)	(25, 36.26308144967763)	(26, 35.569467315646435)	(27, 34.943306886782054)	(28, 34.401415543141425)	(29, 33.790059691230354)	(30, 33.26993658057434)	(31, 32.581012448867654)	(32, 31.89879120806843)	(33, 31.083554888772564)	(34, 30.73883045358052)	(35, 29.48661250623438)	(36, 28.72236447151789)	(37, 28.085988081646192)
