Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
GSM461177_1	(0.0, 0.006484937157493578)	(1.0, 0.0038275756907010967)	(2.0, 0.0011702142239086155)	(3.0, 0.0011702142239086155)	(4.0, 0.0021210132808343655)	(5.0, 0.003071812337760116)	(6.0, 0.003071812337760116)	(7.0, 0.004144508709676346)	(8.0, 0.005217205081592577)	(9.0, 0.008015619155731186)	(10.0, 0.010814033229869794)	(11.0, 0.010814033229869794)	(12.0, 0.016661621568984573)	(13.0, 0.022509209908099348)	(14.0, 0.022509209908099348)	(15.0, 0.03533803161574038)	(16.0, 0.0481668533233814)	(17.0, 0.0481668533233814)	(18.0, 0.06835304868580502)	(19.0, 0.08853924404822865)	(20.0, 0.11986511261056804)	(21.0, 0.15119098117290747)	(22.0, 0.15119098117290747)	(23.0, 0.20257592361203758)	(24.0, 0.2539608660511677)	(25.0, 0.2539608660511677)	(26.0, 0.2991447179377106)	(27.0, 0.34432856982425347)	(28.0, 0.4185622932632422)	(29.0, 0.4927960167022308)	(30.0, 0.4927960167022308)	(31.0, 0.577039251092152)	(32.0, 0.6612824854820734)	(33.0, 0.6612824854820734)	(34.0, 0.7603850025693342)	(35.0, 0.8594875196565951)	(36.0, 0.9878105645372883)	(37.0, 1.1161336094179817)	(38.0, 1.1161336094179817)	(39.0, 1.2769945304500623)	(40.0, 1.4378554514821433)	(41.0, 1.4378554514821433)	(42.0, 1.629336978039833)	(43.0, 1.8208185045975225)	(44.0, 1.8208185045975225)	(45.0, 2.0376686037949456)	(46.0, 2.2545187029923683)	(47.0, 2.5264280779807775)	(48.0, 2.7983374529691862)	(49.0, 2.7983374529691862)	(50.0, 3.0646256203463196)	(51.0, 3.330913787723453)	(52.0, 3.330913787723453)	(53.0, 3.5257875424183065)	(54.0, 3.72066129711316)	(55.0, 3.8077116525282904)	(56.0, 3.894762007943421)	(57.0, 3.894762007943421)	(58.0, 3.802682517589826)	(59.0, 3.710603027236231)	(60.0, 3.710603027236231)	(61.0, 3.4685184424455646)	(62.0, 3.226433857654898)	(63.0, 3.226433857654898)	(64.0, 2.874284704378898)	(65.0, 2.522135551102898)	(66.0, 2.1356078722191545)	(67.0, 1.7490801933354105)	(68.0, 1.7490801933354105)	(69.0, 1.430592112898925)	(70.0, 1.1121040324624392)	(71.0, 1.1121040324624392)	(72.0, 0.8691731320276959)	(73.0, 0.6262422315929526)	(74.0, 0.46596467628261184)	(75.0, 0.30568712097227113)	(76.0, 0.30568712097227113)	(77.0, 0.22330020855063343)	(78.0, 0.14091329612899578)	(79.0, 0.14091329612899578)	(80.0, 0.10297711031374401)	(81.0, 0.06504092449849225)	(82.0, 0.04663617132514379)	(83.0, 0.02823141815179535)	(84.0, 0.02823141815179535)	(85.0, 0.020501386991184714)	(86.0, 0.012771355830574087)	(87.0, 0.012771355830574087)	(88.0, 0.009410472717265117)	(89.0, 0.006049589603956146)	(90.0, 0.006049589603956146)	(91.0, 0.004349992754946014)	(92.0, 0.0026503959059358817)	(93.0, 0.0018423908465704094)	(94.0, 0.001034385787204937)	(95.0, 0.001034385787204937)	(96.0, 0.0007366080605853339)	(97.0, 0.0004388303339657308)	(98.0, 0.0004388303339657308)	(99.0, 0.0006321246477363503)	(100.0, 0.0008254189615069698)
GSM461177_2	(0.0, 0.12399247612036637)	(1.0, 0.06451256826722765)	(2.0, 0.005032660414088903)	(3.0, 0.005032660414088903)	(4.0, 0.004889667290750271)	(5.0, 0.00474667416741164)	(6.0, 0.00474667416741164)	(7.0, 0.005142520984458827)	(8.0, 0.005538367801506014)	(9.0, 0.007596073722720465)	(10.0, 0.009653779643934917)	(11.0, 0.009653779643934917)	(12.0, 0.01492359938453667)	(13.0, 0.020193419125138428)	(14.0, 0.020193419125138428)	(15.0, 0.031268410909573156)	(16.0, 0.04234340269400788)	(17.0, 0.04234340269400788)	(18.0, 0.06263447565947514)	(19.0, 0.08292554862494238)	(20.0, 0.11168286078320297)	(21.0, 0.1404401729414636)	(22.0, 0.1404401729414636)	(23.0, 0.19007622492574167)	(24.0, 0.23971227691001973)	(25.0, 0.23971227691001973)	(26.0, 0.28158136095100195)	(27.0, 0.3234504449919841)	(28.0, 0.3963438053417174)	(29.0, 0.46923716569145063)	(30.0, 0.46923716569145063)	(31.0, 0.5536240342841707)	(32.0, 0.6380109028768909)	(33.0, 0.6380109028768909)	(34.0, 0.7355915028254657)	(35.0, 0.8331721027740404)	(36.0, 0.9576615671889375)	(37.0, 1.0821510316038345)	(38.0, 1.0821510316038345)	(39.0, 1.2422318331814322)	(40.0, 1.40231263475903)	(41.0, 1.40231263475903)	(42.0, 1.5941762737265046)	(43.0, 1.7860399126939792)	(44.0, 1.7860399126939792)	(45.0, 2.0031697390279586)	(46.0, 2.220299565361939)	(47.0, 2.500534698371265)	(48.0, 2.780769831380591)	(49.0, 2.780769831380591)	(50.0, 3.051185521981138)	(51.0, 3.321601212581686)	(52.0, 3.321601212581686)	(53.0, 3.523367997249649)	(54.0, 3.7251347819176126)	(55.0, 3.818068105357682)	(56.0, 3.9110014287977517)	(57.0, 3.9110014287977517)	(58.0, 3.8257792711065046)	(59.0, 3.7405571134152575)	(60.0, 3.7405571134152575)	(61.0, 3.507492272921907)	(62.0, 3.2744274324285563)	(63.0, 3.2744274324285563)	(64.0, 2.9188471301498122)	(65.0, 2.5632668278710686)	(66.0, 2.1692457888743153)	(67.0, 1.775224749877562)	(68.0, 1.775224749877562)	(69.0, 1.455077097270985)	(70.0, 1.1349294446644076)	(71.0, 1.1349294446644076)	(72.0, 0.8880326352159105)	(73.0, 0.6411358257674131)	(74.0, 0.47634322639394977)	(75.0, 0.3115506270204863)	(76.0, 0.3115506270204863)	(77.0, 0.22830944723305258)	(78.0, 0.1450682674456188)	(79.0, 0.1450682674456188)	(80.0, 0.10643745450268344)	(81.0, 0.06780664155974807)	(82.0, 0.04989936858945044)	(83.0, 0.03199209561915282)	(84.0, 0.03199209561915282)	(85.0, 0.023567708072214665)	(86.0, 0.01514332052527652)	(87.0, 0.01514332052527652)	(88.0, 0.011439449867090508)	(89.0, 0.0077355792089044955)	(90.0, 0.0077355792089044955)	(91.0, 0.0058696933311930865)	(92.0, 0.004003807453481677)	(93.0, 0.003074352151780574)	(94.0, 0.0021448968500794702)	(95.0, 0.0021448968500794702)	(96.0, 0.0016269827326212565)	(97.0, 0.001109068615163043)	(98.0, 0.001109068615163043)	(99.0, 0.000939918213164906)	(100.0, 0.000770767811166769)
GSM461178_1	(0.0, 0.004433594787417789)	(1.0, 0.002713769635505046)	(2.0, 0.0009939444835923032)	(3.0, 0.0009939444835923032)	(4.0, 0.0011626138505049365)	(5.0, 0.0013312832174175698)	(6.0, 0.0013312832174175698)	(7.0, 0.0021791479814516103)	(8.0, 0.003027012745485651)	(9.0, 0.004831172580854711)	(10.0, 0.006635332416223771)	(11.0, 0.006635332416223771)	(12.0, 0.010808393270821153)	(13.0, 0.014981454125418537)	(14.0, 0.014981454125418537)	(15.0, 0.02338179098826379)	(16.0, 0.031782127851109045)	(17.0, 0.031782127851109045)	(18.0, 0.04770029935348881)	(19.0, 0.06361847085586858)	(20.0, 0.08848816661654024)	(21.0, 0.11335786237721189)	(22.0, 0.11335786237721189)	(23.0, 0.15361261396270018)	(24.0, 0.19386736554818845)	(25.0, 0.19386736554818845)	(26.0, 0.22753196401216172)	(27.0, 0.261196562476135)	(28.0, 0.3207217892313916)	(29.0, 0.38024701598664823)	(30.0, 0.38024701598664823)	(31.0, 0.45036377539812406)	(32.0, 0.5204805348095999)	(33.0, 0.5204805348095999)	(34.0, 0.6144248542504658)	(35.0, 0.7083691736913317)	(36.0, 0.8261515949970197)	(37.0, 0.9439340163027076)	(38.0, 0.9439340163027076)	(39.0, 1.097399044569359)	(40.0, 1.2508640728360108)	(41.0, 1.2508640728360108)	(42.0, 1.4606646696514818)	(43.0, 1.6704652664669533)	(44.0, 1.6704652664669533)	(45.0, 1.9168294664902084)	(46.0, 2.1631936665134637)	(47.0, 2.4677021128503784)	(48.0, 2.772210559187293)	(49.0, 2.772210559187293)	(50.0, 3.0600086903879347)	(51.0, 3.3478068215885766)	(52.0, 3.3478068215885766)	(53.0, 3.578123336131287)	(54.0, 3.8084398506739974)	(55.0, 3.930524846812448)	(56.0, 4.052609842950898)	(57.0, 4.052609842950898)	(58.0, 3.969422713580183)	(59.0, 3.8862355842094694)	(60.0, 3.8862355842094694)	(61.0, 3.645264285997947)	(62.0, 3.4042929877864254)	(63.0, 3.4042929877864254)	(64.0, 3.0481852689626576)	(65.0, 2.6920775501388894)	(66.0, 2.2922859712612396)	(67.0, 1.8924943923835904)	(68.0, 1.8924943923835904)	(69.0, 1.5645002426805814)	(70.0, 1.2365060929775729)	(71.0, 1.2365060929775729)	(72.0, 0.9756242795879089)	(73.0, 0.7147424661982448)	(74.0, 0.53846791800964)	(75.0, 0.36219336982103534)	(76.0, 0.36219336982103534)	(77.0, 0.2690035446018054)	(78.0, 0.17581371938257553)	(79.0, 0.17581371938257553)	(80.0, 0.1295305439064509)	(81.0, 0.08324736843032628)	(82.0, 0.061397155532688805)	(83.0, 0.03954694263505134)	(84.0, 0.03954694263505134)	(85.0, 0.029280700900735084)	(86.0, 0.01901445916641882)	(87.0, 0.01901445916641882)	(88.0, 0.01417425072662236)	(89.0, 0.009334042286825902)	(90.0, 0.009334042286825902)	(91.0, 0.006891348419573303)	(92.0, 0.004448654552320703)	(93.0, 0.003072192040194392)	(94.0, 0.001695729528068081)	(95.0, 0.001695729528068081)	(96.0, 0.0011942393568010554)	(97.0, 0.0006927491855340295)	(98.0, 0.0006927491855340295)	(99.0, 0.0005014901712670258)	(100.0, 0.00031023115700002193)
GSM461178_2	(0.0, 0.04597155069426085)	(1.0, 0.025046205176607626)	(2.0, 0.004120859658954399)	(3.0, 0.004120859658954399)	(4.0, 0.00374253640569999)	(5.0, 0.003364213152445581)	(6.0, 0.003364213152445581)	(7.0, 0.0037214347102993454)	(8.0, 0.00407865626815311)	(9.0, 0.005409570342350891)	(10.0, 0.006740484416548674)	(11.0, 0.006740484416548674)	(12.0, 0.01032626537070102)	(13.0, 0.013912046324853364)	(14.0, 0.013912046324853364)	(15.0, 0.02125694358823478)	(16.0, 0.028601840851616194)	(17.0, 0.028601840851616194)	(18.0, 0.04264200461283062)	(19.0, 0.056682168374045036)	(20.0, 0.08034319797399608)	(21.0, 0.10400422757394713)	(22.0, 0.10400422757394713)	(23.0, 0.14135875022495914)	(24.0, 0.17871327287597116)	(25.0, 0.17871327287597116)	(26.0, 0.21310752911506423)	(27.0, 0.2475017853541573)	(28.0, 0.30626096346120857)	(29.0, 0.3650201415682599)	(30.0, 0.3650201415682599)	(31.0, 0.43675987687462187)	(32.0, 0.5084996121809838)	(33.0, 0.5084996121809838)	(34.0, 0.6013937971264917)	(35.0, 0.6942879820719996)	(36.0, 0.8162904485587392)	(37.0, 0.9382929150454787)	(38.0, 0.9382929150454787)	(39.0, 1.0909757393807977)	(40.0, 1.243658563716117)	(41.0, 1.243658563716117)	(42.0, 1.4487549848987225)	(43.0, 1.6538514060813279)	(44.0, 1.6538514060813279)	(45.0, 1.888568578550609)	(46.0, 2.12328575101989)	(47.0, 2.4117037237558967)	(48.0, 2.7001216964919035)	(49.0, 2.7001216964919035)	(50.0, 2.9661583067276123)	(51.0, 3.232194916963321)	(52.0, 3.232194916963321)	(53.0, 3.440566622724898)	(54.0, 3.648938328486475)	(55.0, 3.760358294729791)	(56.0, 3.871778260973108)	(57.0, 3.871778260973108)	(58.0, 3.8115344278682253)	(59.0, 3.751290594763343)	(60.0, 3.751290594763343)	(61.0, 3.5431103115243294)	(62.0, 3.3349300282853154)	(63.0, 3.3349300282853154)	(64.0, 3.026833217324251)	(65.0, 2.718736406363186)	(66.0, 2.365468401869128)	(67.0, 2.0122003973750697)	(68.0, 2.0122003973750697)	(69.0, 1.7050335682755908)	(70.0, 1.3978667391761115)	(71.0, 1.3978667391761115)	(72.0, 1.1383324656517153)	(73.0, 0.8787981921273191)	(74.0, 0.6941146467169228)	(75.0, 0.5094311013065266)	(76.0, 0.5094311013065266)	(77.0, 0.39731477911498886)	(78.0, 0.2851984569234512)	(79.0, 0.2851984569234512)	(80.0, 0.2189406406293852)	(81.0, 0.1526828243353192)	(82.0, 0.11594175811488305)	(83.0, 0.07920069189444691)	(84.0, 0.07920069189444691)	(85.0, 0.05957159337997612)	(86.0, 0.03994249486550533)	(87.0, 0.03994249486550533)	(88.0, 0.02958608421566053)	(89.0, 0.019229673565815737)	(90.0, 0.019229673565815737)	(91.0, 0.01406880177640101)	(92.0, 0.008907929986986283)	(93.0, 0.00627473985377731)	(94.0, 0.0036415497205683355)	(95.0, 0.0036415497205683355)	(96.0, 0.0026090739098939522)	(97.0, 0.0015765980992195688)	(98.0, 0.0015765980992195688)	(99.0, 0.0011530569272494935)	(100.0, 0.0007295157552794181)
GSM461180_1	(0.0, 0.0033343312796606226)	(1.0, 0.002074194368113207)	(2.0, 0.0008140574565657917)	(3.0, 0.0008140574565657917)	(4.0, 0.0009642525592532071)	(5.0, 0.0011144476619406225)	(6.0, 0.0011144476619406225)	(7.0, 0.00202462998422636)	(8.0, 0.002934812306512098)	(9.0, 0.0045929662401811636)	(10.0, 0.006251120173850231)	(11.0, 0.006251120173850231)	(12.0, 0.010722428380854588)	(13.0, 0.015193736587858947)	(14.0, 0.015193736587858947)	(15.0, 0.023030917046088284)	(16.0, 0.030868097504317623)	(17.0, 0.030868097504317623)	(18.0, 0.04611890823119778)	(19.0, 0.061369718958077954)	(20.0, 0.08664004498523559)	(21.0, 0.11191037101239325)	(22.0, 0.11191037101239325)	(23.0, 0.15315394621035752)	(24.0, 0.1943975214083218)	(25.0, 0.1943975214083218)	(26.0, 0.22610070368358146)	(27.0, 0.25780388595884113)	(28.0, 0.31935834489322457)	(29.0, 0.38091280382760806)	(30.0, 0.38091280382760806)	(31.0, 0.44845704345716564)	(32.0, 0.5160012830867232)	(33.0, 0.5160012830867232)	(34.0, 0.6077104127876591)	(35.0, 0.6994195424885951)	(36.0, 0.8134026059180746)	(37.0, 0.9273856693475542)	(38.0, 0.9273856693475542)	(39.0, 1.0767501931171082)	(40.0, 1.2261147168866622)	(41.0, 1.2261147168866622)	(42.0, 1.424163481241315)	(43.0, 1.6222122455959678)	(44.0, 1.6222122455959678)	(45.0, 1.865993916767912)	(46.0, 2.109775587939856)	(47.0, 2.409784297753861)	(48.0, 2.709793007567866)	(49.0, 2.709793007567866)	(50.0, 3.0018503886455985)	(51.0, 3.2939077697233317)	(52.0, 3.2939077697233317)	(53.0, 3.522384559931428)	(54.0, 3.750861350139525)	(55.0, 3.878438572313242)	(56.0, 4.006015794486959)	(57.0, 4.006015794486959)	(58.0, 3.9385781933803097)	(59.0, 3.871140592273661)	(60.0, 3.871140592273661)	(61.0, 3.6487872564021298)	(62.0, 3.4264339205306)	(63.0, 3.4264339205306)	(64.0, 3.0840506663953944)	(65.0, 2.7416674122601887)	(66.0, 2.3522986241512793)	(67.0, 1.9629298360423697)	(68.0, 1.9629298360423697)	(69.0, 1.6354173990242453)	(70.0, 1.3079049620061212)	(71.0, 1.3079049620061212)	(72.0, 1.0428226213710479)	(73.0, 0.7777402807359746)	(74.0, 0.5965959751887904)	(75.0, 0.41545166964160607)	(76.0, 0.41545166964160607)	(77.0, 0.3133775759042117)	(78.0, 0.2113034821668173)	(79.0, 0.2113034821668173)	(80.0, 0.15691332963062354)	(81.0, 0.10252317709442976)	(82.0, 0.07586204441638666)	(83.0, 0.04920091173834355)	(84.0, 0.04920091173834355)	(85.0, 0.0364718767855851)	(86.0, 0.02374284183282663)	(87.0, 0.02374284183282663)	(88.0, 0.017572827014427604)	(89.0, 0.01140281219602858)	(90.0, 0.01140281219602858)	(91.0, 0.00830128332553345)	(92.0, 0.005199754455038322)	(93.0, 0.003633219534008579)	(94.0, 0.0020666846129788366)	(95.0, 0.0020666846129788366)	(96.0, 0.0014508846919604331)	(97.0, 0.0008350847709420299)	(98.0, 0.0008350847709420299)	(99.0, 0.0005812550474002978)	(100.0, 0.0003274253238585657)
GSM461180_2	(0.0, 0.06008667048838622)	(1.0, 0.032461358322058)	(2.0, 0.004836046155729769)	(3.0, 0.004836046155729769)	(4.0, 0.004276652757119236)	(5.0, 0.003717259358508703)	(6.0, 0.003717259358508703)	(7.0, 0.003962369906824609)	(8.0, 0.004207480455140514)	(9.0, 0.005323259760971201)	(10.0, 0.0064390390668018875)	(11.0, 0.0064390390668018875)	(12.0, 0.009718708428010415)	(13.0, 0.012998377789218942)	(14.0, 0.012998377789218942)	(15.0, 0.01944944682158235)	(16.0, 0.025900515853945753)	(17.0, 0.025900515853945753)	(18.0, 0.0394778357358127)	(19.0, 0.053055155617679636)	(20.0, 0.07577825681768975)	(21.0, 0.09850135801769988)	(22.0, 0.09850135801769988)	(23.0, 0.13467847195257138)	(24.0, 0.1708555858874429)	(25.0, 0.1708555858874429)	(26.0, 0.2057139148476331)	(27.0, 0.24057224380782333)	(28.0, 0.29788600723427994)	(29.0, 0.35519977066073655)	(30.0, 0.35519977066073655)	(31.0, 0.42520965899167895)	(32.0, 0.49521954732262136)	(33.0, 0.49521954732262136)	(34.0, 0.5860157123981696)	(35.0, 0.6768118774737181)	(36.0, 0.7910604604114435)	(37.0, 0.9053090433491688)	(38.0, 0.9053090433491688)	(39.0, 1.055188880534412)	(40.0, 1.205068717719655)	(41.0, 1.205068717719655)	(42.0, 1.3969752395940571)	(43.0, 1.5888817614684594)	(44.0, 1.5888817614684594)	(45.0, 1.8222570783791054)	(46.0, 2.0556323952897513)	(47.0, 2.3345486505792143)	(48.0, 2.6134649058686774)	(49.0, 2.6134649058686774)	(50.0, 2.8833556794956126)	(51.0, 3.1532464531225477)	(52.0, 3.1532464531225477)	(53.0, 3.360722757924943)	(54.0, 3.5681990627273383)	(55.0, 3.690375392970103)	(56.0, 3.8125517232128683)	(57.0, 3.8125517232128683)	(58.0, 3.774467859736496)	(59.0, 3.7363839962601246)	(60.0, 3.7363839962601246)	(61.0, 3.5597013958038213)	(62.0, 3.3830187953475193)	(63.0, 3.3830187953475193)	(64.0, 3.091815433982662)	(65.0, 2.8006120726178043)	(66.0, 2.455087401759918)	(67.0, 2.1095627309020313)	(68.0, 2.1095627309020313)	(69.0, 1.80080163480014)	(70.0, 1.492040538698249)	(71.0, 1.492040538698249)	(72.0, 1.2266429572085404)	(73.0, 0.9612453757188317)	(74.0, 0.7695268220563284)	(75.0, 0.5778082683938248)	(76.0, 0.5778082683938248)	(77.0, 0.45376127850624404)	(78.0, 0.32971428861866314)	(79.0, 0.32971428861866314)	(80.0, 0.25539015388822167)	(81.0, 0.1810660191577803)	(82.0, 0.13958369041027985)	(83.0, 0.09810136166277944)	(84.0, 0.09810136166277944)	(85.0, 0.07467601122311578)	(86.0, 0.05125066078345211)	(87.0, 0.05125066078345211)	(88.0, 0.038933479794154055)	(89.0, 0.026616298804856005)	(90.0, 0.026616298804856005)	(91.0, 0.02012613238441767)	(92.0, 0.013635965963979335)	(93.0, 0.010111186054454902)	(94.0, 0.006586406144930469)	(95.0, 0.006586406144930469)	(96.0, 0.004676649112039671)	(97.0, 0.0027668920791488727)	(98.0, 0.0027668920791488727)	(99.0, 0.00194133569248978)	(100.0, 0.0011157793058306868)
GSM461181_1	(0.0, 0.004433497260491534)	(1.0, 0.002506210809811504)	(2.0, 0.0005789243591314728)	(3.0, 0.0005789243591314728)	(4.0, 0.0006808268611214514)	(5.0, 0.00078272936311143)	(6.0, 0.00078272936311143)	(7.0, 0.001465033072087809)	(8.0, 0.002147336781064188)	(9.0, 0.0035547727868098346)	(10.0, 0.004962208792555481)	(11.0, 0.004962208792555481)	(12.0, 0.008091649397146275)	(13.0, 0.011221090001737068)	(14.0, 0.011221090001737068)	(15.0, 0.018240547856206175)	(16.0, 0.025260005710675288)	(17.0, 0.025260005710675288)	(18.0, 0.03807461454787883)	(19.0, 0.05088922338508237)	(20.0, 0.07442722449691253)	(21.0, 0.09796522560874266)	(22.0, 0.09796522560874266)	(23.0, 0.13625102939987607)	(24.0, 0.17453683319100952)	(25.0, 0.17453683319100952)	(26.0, 0.2009576413156576)	(27.0, 0.22737844944030566)	(28.0, 0.2837925606506708)	(29.0, 0.340206671861036)	(30.0, 0.340206671861036)	(31.0, 0.4040375129988456)	(32.0, 0.4678683541366553)	(33.0, 0.4678683541366553)	(34.0, 0.5528122122085046)	(35.0, 0.6377560702803539)	(36.0, 0.752575083609526)	(37.0, 0.8673940969386982)	(38.0, 0.8673940969386982)	(39.0, 1.0202404656843915)	(40.0, 1.1730868344300849)	(41.0, 1.1730868344300849)	(42.0, 1.3757074064303905)	(43.0, 1.578327978430696)	(44.0, 1.578327978430696)	(45.0, 1.830926558689594)	(46.0, 2.083525138948492)	(47.0, 2.4019409207100764)	(48.0, 2.7203567024716615)	(49.0, 2.7203567024716615)	(50.0, 3.04122848221599)	(51.0, 3.3621002619603186)	(52.0, 3.3621002619603186)	(53.0, 3.6093880973328982)	(54.0, 3.856675932705478)	(55.0, 3.9997706750650868)	(56.0, 4.142865417424696)	(57.0, 4.142865417424696)	(58.0, 4.07214803473936)	(59.0, 4.001430652054025)	(60.0, 4.001430652054025)	(61.0, 3.7590090303634307)	(62.0, 3.516587408672836)	(63.0, 3.516587408672836)	(64.0, 3.1468068585168827)	(65.0, 2.777026308360929)	(66.0, 2.3600471776093563)	(67.0, 1.9430680468577832)	(68.0, 1.9430680468577832)	(69.0, 1.6066745961581692)	(70.0, 1.2702811454585554)	(71.0, 1.2702811454585554)	(72.0, 1.0005910049745848)	(73.0, 0.730900864490614)	(74.0, 0.5568912659838136)	(75.0, 0.3828816674770131)	(76.0, 0.3828816674770131)	(77.0, 0.28608315167366294)	(78.0, 0.18928463587031277)	(79.0, 0.18928463587031277)	(80.0, 0.14132695547726096)	(81.0, 0.09336927508420913)	(82.0, 0.06910909537131958)	(83.0, 0.04484891565843002)	(84.0, 0.04484891565843002)	(85.0, 0.03373120500653786)	(86.0, 0.022613494354645696)	(87.0, 0.022613494354645696)	(88.0, 0.017369207621799113)	(89.0, 0.01212492088895253)	(90.0, 0.01212492088895253)	(91.0, 0.008890624086661905)	(92.0, 0.005656327284371278)	(93.0, 0.0040820074710188545)	(94.0, 0.0025076876576664306)	(95.0, 0.0025076876576664306)	(96.0, 0.001699851881021238)	(97.0, 0.000892016104376045)	(98.0, 0.000892016104376045)	(99.0, 0.0006453825126031981)	(100.0, 0.00039874892083035124)
GSM461181_2	(0.0, 0.07132633668886691)	(1.0, 0.03750493515162722)	(2.0, 0.0036835336143875392)	(3.0, 0.0036835336143875392)	(4.0, 0.0032578282849559134)	(5.0, 0.002832122955524288)	(6.0, 0.002832122955524288)	(7.0, 0.0031307079435284138)	(8.0, 0.003429292931532541)	(9.0, 0.004444777519447564)	(10.0, 0.005460262107362588)	(11.0, 0.005460262107362588)	(12.0, 0.008539235028217022)	(13.0, 0.011618207949071454)	(14.0, 0.011618207949071454)	(15.0, 0.018154558528052873)	(16.0, 0.02469090910703429)	(17.0, 0.02469090910703429)	(18.0, 0.038069585970526114)	(19.0, 0.05144826283401794)	(20.0, 0.07516064094076147)	(21.0, 0.09887301904750502)	(22.0, 0.09887301904750502)	(23.0, 0.1378280129775087)	(24.0, 0.17678300690751242)	(25.0, 0.17678300690751242)	(26.0, 0.20332159539576036)	(27.0, 0.22986018388400828)	(28.0, 0.2879098356112264)	(29.0, 0.34595948733844445)	(30.0, 0.34595948733844445)	(31.0, 0.4111766569212665)	(32.0, 0.4763938265040886)	(33.0, 0.4763938265040886)	(34.0, 0.5621867536761059)	(35.0, 0.6479796808481233)	(36.0, 0.7588256622858928)	(37.0, 0.8696716437236622)	(38.0, 0.8696716437236622)	(39.0, 1.022085976808224)	(40.0, 1.1745003098927858)	(41.0, 1.1745003098927858)	(42.0, 1.3705775239706837)	(43.0, 1.5666547380485816)	(44.0, 1.5666547380485816)	(45.0, 1.8088914174997115)	(46.0, 2.051128096950841)	(47.0, 2.3699784324081192)	(48.0, 2.6888287678653966)	(49.0, 2.6888287678653966)	(50.0, 2.9986299087852424)	(51.0, 3.3084310497050886)	(52.0, 3.3084310497050886)	(53.0, 3.5572114704527245)	(54.0, 3.8059918912003603)	(55.0, 3.949478237514898)	(56.0, 4.092964583829435)	(57.0, 4.092964583829435)	(58.0, 4.031051064980224)	(59.0, 3.969137546131011)	(60.0, 3.969137546131011)	(61.0, 3.7471617797025174)	(62.0, 3.5251860132740247)	(63.0, 3.5251860132740247)	(64.0, 3.1652211162259802)	(65.0, 2.805256219177936)	(66.0, 2.3949117570499685)	(67.0, 1.9845672949220006)	(68.0, 1.9845672949220006)	(69.0, 1.6423149914940232)	(70.0, 1.300062688066046)	(71.0, 1.300062688066046)	(72.0, 1.0292653198118678)	(73.0, 0.7584679515576898)	(74.0, 0.5780546242019688)	(75.0, 0.3976412968462478)	(76.0, 0.3976412968462478)	(77.0, 0.2992915405995025)	(78.0, 0.2009417843527572)	(79.0, 0.2009417843527572)	(80.0, 0.15040405791780131)	(81.0, 0.09986633148284549)	(82.0, 0.07510447148757259)	(83.0, 0.05034261149229968)	(84.0, 0.05034261149229968)	(85.0, 0.038592848771285826)	(86.0, 0.026843086050271955)	(87.0, 0.026843086050271955)	(88.0, 0.020781219536386203)	(89.0, 0.014719353022500447)	(90.0, 0.014719353022500447)	(91.0, 0.011269366081898316)	(92.0, 0.007819379141296181)	(93.0, 0.006036738074301248)	(94.0, 0.004254097007306315)	(95.0, 0.004254097007306315)	(96.0, 0.0031499238090930363)	(97.0, 0.0020457506108797568)	(98.0, 0.0020457506108797568)	(99.0, 0.0014411899173466497)	(100.0, 0.0008366292238135422)
